epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,355.748,0.65839,2.45068,0.35501,0.42452,0.83299,0.95151,0.98174,0.98786,0.812,0.65771,0.65,0.5395,0.20786,0.60442,3.22844,0.25189,0.44172,0.78953,0.00173068,0.00173068,0.00173068
29,368.59,0.6923,2.47075,0.37738,0.43709,0.83406,0.99546,0.95,0.985,0.76463,0.2751,0.25,0.09217,0.02248,0.77482,5.33238,0.25074,0.45111,0.82676,0.0017207,0.0017207,0.0017207
30,380.964,0.68956,2.4158,0.36599,0.42852,0.83798,0.8987,1,0.98795,0.79068,0.64481,0.65,0.48466,0.23342,0.64758,2.92335,0.25258,0.46258,0.79634,0.00171073,0.00171073,0.00171073
31,393.754,0.67311,2.40765,0.36551,0.43318,0.83792,0.90141,1,0.98795,0.75929,0.17291,0.15,0.04769,0.00636,0.72672,6.00368,0.23512,0.65248,0.81139,0.00170075,0.00170075,0.00170075
32,406.419,0.66419,2.24036,0.35625,0.42661,0.8289,0.97887,0.95,0.99045,0.81993,0.32793,0.3,0.19989,0.07456,0.63326,4.83233,0.24036,0.48756,0.79364,0.00169078,0.00169078,0.00169078
33,418.777,0.65671,2.00996,0.36661,0.4196,0.83499,0.99942,0.95,0.98848,0.78297,0.56083,0.65,0.48768,0.22004,0.66625,3.40507,0.2511,0.42788,0.80125,0.0016808,0.0016808,0.0016808
34,431.417,0.69319,2.14096,0.36183,0.43641,0.83334,0.94859,1,0.99262,0.78936,0.69622,0.7,0.56522,0.26353,0.69533,3.55213,0.24493,0.47191,0.80352,0.00167083,0.00167083,0.00167083
35,443.035,0.6844,2.18399,0.37465,0.43862,0.84348,0.90904,0.99941,0.97682,0.79293,0.79689,0.85,0.76704,0.40444,0.72089,2.176,0.24747,0.51508,0.80126,0.00166085,0.00166085,0.00166085
36,455.841,0.66223,1.86005,0.37422,0.41348,0.82534,0.9843,0.95,0.99045,0.77671,0.9843,0.95,0.948,0.64952,0.72795,1.16558,0.25748,0.46318,0.8053,0.00165087,0.00165087,0.00165087
37,468.207,0.67017,2.09846,0.37277,0.42286,0.83146,0.99567,1,0.995,0.7806,0.66752,0.55,0.49433,0.29345,0.70136,2.92916,0.24389,0.39788,0.80747,0.0016409,0.0016409,0.0016409
38,481.057,0.64769,2.14454,0.36355,0.41716,0.82579,0.9909,1,0.995,0.76498,0.94068,0.95,0.94373,0.72686,0.75789,1.00834,0.25661,0.47293,0.81138,0.00163093,0.00163093,0.00163093
39,493.75,0.66144,1.98035,0.37169,0.41879,0.82971,1,0.9925,0.995,0.80528,0.99374,0.95,0.94949,0.55517,0.67006,1.75877,0.2626,0.36154,0.80386,0.00162095,0.00162095,0.00162095
40,506.644,0.64437,1.80311,0.36512,0.41744,0.82968,0.99602,1,0.995,0.80108,0.99358,0.95,0.94945,0.67586,0.66853,1.21073,0.24407,0.40126,0.80297,0.00161097,0.00161097,0.00161097
41,519.437,0.6324,1.53973,0.37146,0.40867,0.8308,0.98507,1,0.995,0.8029,0.69902,0.7,0.55692,0.34094,0.68439,3.01889,0.25358,0.39315,0.78691,0.001601,0.001601,0.001601
42,531.309,0.66289,1.60298,0.37629,0.42257,0.83087,0.95545,0.95,0.99262,0.78135,0.55585,0.55,0.34351,0.16851,0.6735,4.25112,0.25701,0.4327,0.79725,0.00159103,0.00159103,0.00159103
43,543.198,0.66069,1.67256,0.36534,0.42211,0.83126,0.97763,0.95,0.99045,0.80747,0.87428,0.85,0.78854,0.46399,0.60377,2.09533,0.25043,0.39984,0.77094,0.00158105,0.00158105,0.00158105
44,555.704,0.65815,1.70682,0.37005,0.40933,0.8305,0.99468,1,0.995,0.77887,0.89245,0.85,0.77293,0.46987,0.68447,2.12718,0.25151,0.37288,0.79517,0.00157108,0.00157108,0.00157108
45,568.665,0.64916,1.61491,0.35763,0.41059,0.82711,0.99685,1,0.995,0.7461,0.92885,0.9,0.88528,0.62318,0.68482,1.18823,0.25268,0.40418,0.79129,0.0015611,0.0015611,0.0015611
46,581.756,0.6289,1.51329,0.36724,0.40355,0.82638,1,0.97975,0.995,0.77029,0.605,0.55,0.41044,0.28518,0.69515,3.4673,0.25445,0.43311,0.80161,0.00155113,0.00155113,0.00155113
47,594.232,0.62197,1.2666,0.34645,0.39401,0.82249,0.94735,1,0.98786,0.76779,0.58195,0.6,0.38312,0.30214,0.67373,3.00582,0.2543,0.43211,0.80241,0.00154115,0.00154115,0.00154115
48,606.743,0.64986,1.4892,0.35454,0.40607,0.82526,0.99605,1,0.995,0.80195,0.89581,0.9,0.87221,0.70159,0.71891,1.38261,0.24448,0.3809,0.80366,0.00153118,0.00153118,0.00153118
49,619.702,0.66584,1.45891,0.36848,0.40703,0.83663,0.99605,1,0.995,0.78731,0.93545,0.9,0.88174,0.62302,0.68914,1.30285,0.24991,0.35451,0.79923,0.0015212,0.0015212,0.0015212
50,631.674,0.64438,1.6495,0.35539,0.40195,0.82352,0.9954,1,0.995,0.80005,0.97607,0.95,0.94967,0.48654,0.67031,1.64482,0.25225,0.35224,0.79071,0.00151123,0.00151123,0.00151123
51,643.6,0.63817,1.42555,0.36307,0.39968,0.82049,0.99507,0.95,0.99045,0.75406,0.83684,0.8,0.69732,0.50417,0.72485,1.67913,0.25535,0.40073,0.79717,0.00150125,0.00150125,0.00150125
52,656.259,0.63457,1.44537,0.35701,0.39374,0.82001,0.9701,0.95,0.985,0.77509,0.60535,0.6,0.4454,0.28201,0.67308,2.74359,0.25159,0.41315,0.79202,0.00149128,0.00149128,0.00149128
53,668.742,0.63986,1.2797,0.36738,0.40017,0.83044,0.94579,1,0.99262,0.82861,0.9929,0.95,0.9527,0.83715,0.62605,0.63741,0.24907,0.36595,0.7853,0.0014813,0.0014813,0.0014813
54,681.59,0.63194,1.26912,0.36574,0.40372,0.82676,1,0.99484,0.995,0.83036,0.84922,0.84507,0.73978,0.57468,0.64501,1.8917,0.24919,0.39249,0.79662,0.00147133,0.00147133,0.00147133
55,694.423,0.61918,1.18544,0.36919,0.40144,0.82229,1,0.99645,0.995,0.79385,0.7996,0.7981,0.65455,0.39052,0.64418,2.18864,0.25209,0.39043,0.79239,0.00146135,0.00146135,0.00146135
56,707.15,0.61691,1.33872,0.34303,0.39179,0.82684,0.99355,0.95,0.99262,0.80054,0.78401,0.75,0.60655,0.46397,0.66079,2.35988,0.25454,0.37154,0.79908,0.00145137,0.00145137,0.00145137
57,720.019,0.65523,1.3218,0.34852,0.40673,0.82391,1,0.99144,0.995,0.80319,0.76098,0.75,0.59656,0.44385,0.68492,2.14169,0.25238,0.4527,0.79525,0.0014414,0.0014414,0.0014414
