epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,94.339,0.79023,0.61548,0.92004,0.92556,0.99484,0.98574,0.71497,0.88098,0.56356,0.91414,0.000581,0.000581,0.000581
45,96.1483,0.86208,0.63925,0.91132,0.9257,0.99676,0.98574,0.70431,0.88883,0.56924,0.91531,0.000548,0.000548,0.000548
46,98.4809,0.83602,0.61179,0.90651,0.92417,1,0.98884,0.74342,0.85022,0.59653,0.90781,0.000515,0.000515,0.000515
47,101.276,0.83746,0.61458,0.89672,0.91688,1,0.99044,0.73156,0.88168,0.60375,0.90679,0.000482,0.000482,0.000482
48,103.007,0.82498,0.59952,0.89682,0.96706,0.96,0.99204,0.73507,0.87775,0.56454,0.91229,0.000449,0.000449,0.000449
49,104.87,0.79119,0.60012,0.89751,0.96129,0.99354,0.99346,0.74269,0.85881,0.5581,0.91189,0.000416,0.000416,0.000416
50,106.614,0.77091,0.58987,0.89616,0.99735,0.96,0.99204,0.72527,0.85242,0.54566,0.91582,0.000383,0.000383,0.000383
51,110.768,0.81769,0.69747,0.9051,1,0.98768,0.995,0.73194,0.8675,0.5397,0.91882,0.00035,0.00035,0.00035
52,113.967,0.77201,0.66563,0.87603,0.99996,1,0.995,0.74293,0.87583,0.5593,0.91698,0.000317,0.000317,0.000317
53,116.461,0.80014,0.6764,0.887,0.99271,1,0.995,0.73429,0.89874,0.57004,0.91826,0.000284,0.000284,0.000284
54,118.192,0.76766,0.67204,0.8778,0.99327,1,0.995,0.72824,0.89978,0.55906,0.92114,0.000251,0.000251,0.000251
55,119.987,0.75789,0.66459,0.88481,0.9944,1,0.995,0.73241,0.88415,0.55077,0.92271,0.000218,0.000218,0.000218
56,121.747,0.76479,0.66533,0.87436,1,0.99865,0.995,0.77282,0.85531,0.52381,0.92365,0.000185,0.000185,0.000185
57,123.555,0.7378,0.64569,0.88777,1,0.98726,0.995,0.77298,0.84255,0.50904,0.9241,0.000152,0.000152,0.000152
58,125.304,0.72708,0.62615,0.8636,0.95761,1,0.99346,0.76656,0.82499,0.49946,0.92114,0.000119,0.000119,0.000119
59,128.132,0.73035,0.61031,0.89263,0.96153,1,0.99346,0.77124,0.82519,0.49691,0.91941,8.6e-05,8.6e-05,8.6e-05
60,130.317,0.74741,0.62718,0.86962,0.96071,1,0.99192,0.75856,0.82379,0.49644,0.91386,5.3e-05,5.3e-05,5.3e-05
