epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,406.559,0.63346,1.0076,0.19038,0.38698,0.81788,0.99659,1,0.995,0.85817,0.99659,1,0.995,0.28965,0.55521,2.69507,0.23863,0.36328,0.83552,0.0014456,0.0014456,0.0014456
30,420.093,0.63789,1.02939,0.18264,0.38569,0.82774,0.99657,1,0.995,0.8883,0.99657,1,0.995,0.5802,0.48126,1.58022,0.25182,0.28736,0.82536,0.0014258,0.0014258,0.0014258
31,433.643,0.65365,0.95326,0.18769,0.39103,0.83195,1,0.9968,0.995,0.86789,1,0.9968,0.995,0.73996,0.5388,0.84749,0.22942,0.32568,0.83467,0.001406,0.001406,0.001406
32,447.492,0.63052,0.92627,0.18493,0.39338,0.82661,0.99551,1,0.995,0.88869,0.99551,1,0.995,0.66298,0.47939,1.39122,0.25546,0.31323,0.83228,0.0013862,0.0013862,0.0013862
33,461.157,0.63063,1.0029,0.19823,0.40038,0.82419,0.99268,1,0.995,0.90444,0.99268,1,0.995,0.73029,0.48588,0.97271,0.25148,0.33534,0.82341,0.0013664,0.0013664,0.0013664
34,475.033,0.6416,0.93011,0.19496,0.39977,0.82523,0.9848,1,0.995,0.8564,0.9848,1,0.995,0.73394,0.55229,0.82147,0.25923,0.36095,0.83399,0.0013466,0.0013466,0.0013466
35,488.481,0.61479,0.9194,0.17535,0.38149,0.81794,0.99642,1,0.995,0.89636,0.99642,1,0.995,0.70992,0.48257,0.97978,0.26004,0.31216,0.8246,0.0013268,0.0013268,0.0013268
36,501.565,0.61228,0.81493,0.1827,0.37902,0.82009,0.99718,1,0.995,0.88466,0.99718,1,0.995,0.55544,0.51852,1.59227,0.29096,0.31737,0.83177,0.001307,0.001307,0.001307
37,514.877,0.6258,0.86653,0.1801,0.39462,0.82321,0.98152,1,0.995,0.85601,0.98152,1,0.995,0.50068,0.52284,1.9266,0.27083,0.34676,0.82968,0.0012872,0.0012872,0.0012872
38,528.148,0.64646,0.82221,0.16631,0.40411,0.8266,0.9859,1,0.995,0.88407,0.94133,0.95833,0.95306,0.43625,0.51034,2.02792,0.27809,0.3472,0.8259,0.0012674,0.0012674,0.0012674
39,541.892,0.62848,0.78575,0.17535,0.38711,0.82218,0.99671,1,0.995,0.90284,0.99671,1,0.995,0.78936,0.48756,0.82937,0.26376,0.29474,0.82706,0.0012476,0.0012476,0.0012476
40,555.445,0.59408,0.73482,0.16499,0.36408,0.82197,0.9835,1,0.995,0.87258,0.9835,1,0.995,0.73726,0.49421,0.7069,0.26113,0.32707,0.82388,0.0012278,0.0012278,0.0012278
41,569.159,0.60434,0.68972,0.17389,0.36968,0.81672,1,0.98829,0.995,0.87395,1,0.98829,0.995,0.79841,0.53365,0.81682,0.25488,0.33718,0.83459,0.001208,0.001208,0.001208
42,582.775,0.63326,0.71314,0.16223,0.37906,0.81982,0.9902,1,0.995,0.87391,0.9902,1,0.995,0.65037,0.53023,1.19264,0.28763,0.31227,0.84195,0.0011882,0.0011882,0.0011882
43,596.513,0.62667,0.68408,0.16222,0.37712,0.81981,0.99476,1,0.995,0.8913,0.99476,1,0.995,0.85268,0.50802,0.55869,0.2234,0.32324,0.82543,0.0011684,0.0011684,0.0011684
44,610.352,0.61158,0.63669,0.1603,0.38256,0.82375,0.99699,1,0.995,0.87588,0.99699,1,0.995,0.74519,0.4961,1.0493,0.27822,0.3348,0.82897,0.0011486,0.0011486,0.0011486
45,626.317,0.60664,0.61426,0.17313,0.37544,0.82259,0.99742,1,0.995,0.88806,0.95586,0.95833,0.95,0.72992,0.5072,1.07727,0.27677,0.29837,0.82333,0.0011288,0.0011288,0.0011288
