epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4349,1.4483,5.22334,0.76594,2.06732,1.07272,0.84753,0.75,0.875,0.57736,0.43127,0.58333,0.42824,0.05315,1.03298,4.59942,0.69371,1.18328,0.96123,0.00052,0.00052,0.00052
2,38.792,0.97492,2.95185,0.84332,0.67507,0.89628,0.98648,0.875,0.95461,0.74194,0.98648,0.875,0.95076,0.30151,0.80296,3.29368,0.73071,0.9236,0.89339,0.00105471,0.00105471,0.00105471
3,54.4591,0.88803,2.27433,0.80597,0.58195,0.87726,0.952,0.95833,0.98014,0.75322,0.952,0.95833,0.94635,0.49153,0.81248,1.99171,0.74273,0.55159,0.91004,0.00158404,0.00158404,0.00158404
4,69.148,0.8547,1.88335,0.73016,0.53514,0.87324,0.99019,0.91667,0.98889,0.81579,0.99019,0.91667,0.95719,0.64794,0.68535,1.51861,0.68476,0.4598,0.8652,0.00197007,0.00197007,0.00197007
5,83.9288,0.79859,1.76877,0.64604,0.50651,0.86615,0.99433,0.95833,0.9934,0.82997,0.99433,0.95833,0.95707,0.5522,0.6529,1.53668,0.60216,0.43019,0.85732,0.0019601,0.0019601,0.0019601
6,98.7711,0.81074,1.69923,0.57798,0.50641,0.86089,0.99685,1,0.995,0.80219,0.9995,0.95833,0.96041,0.62461,0.68401,1.48453,0.52453,0.42979,0.85605,0.00195012,0.00195012,0.00195012
7,113.687,0.80596,1.63322,0.52089,0.48049,0.85394,0.99534,0.95833,0.99192,0.8235,0.99534,0.95833,0.96036,0.62141,0.67252,1.40174,0.47228,0.41523,0.85846,0.00194015,0.00194015,0.00194015
8,128.297,0.75812,1.53474,0.46521,0.4805,0.84936,0.99767,1,0.995,0.85287,0.98659,0.95833,0.96277,0.63402,0.6145,1.39937,0.41228,0.4165,0.84368,0.00193018,0.00193018,0.00193018
9,144.854,0.74766,1.5227,0.42334,0.45935,0.85722,0.9973,1,0.995,0.83856,0.9973,1,0.995,0.59503,0.63486,1.51181,0.37051,0.37662,0.85877,0.0019202,0.0019202,0.0019202
10,159.459,0.72439,1.49582,0.35999,0.44941,0.84308,0.99376,1,0.995,0.8499,0.99125,0.95833,0.96362,0.60036,0.60652,1.54423,0.32394,0.40365,0.84963,0.00191022,0.00191022,0.00191022
11,174.792,0.72216,1.4111,0.34101,0.4519,0.84935,1,0.99746,0.995,0.88683,0.97914,0.95833,0.96582,0.57179,0.53718,1.52701,0.30438,0.36133,0.83401,0.00190025,0.00190025,0.00190025
12,189.436,0.70368,1.35875,0.30133,0.42992,0.83801,0.99397,1,0.995,0.85207,0.99397,1,0.995,0.57773,0.58175,1.43882,0.26974,0.34604,0.83385,0.00189028,0.00189028,0.00189028
13,204.599,0.69169,1.35897,0.30057,0.41916,0.83901,0.99121,1,0.995,0.86634,0.99121,1,0.995,0.69814,0.55931,1.20672,0.26898,0.39621,0.83753,0.0018803,0.0018803,0.0018803
14,219.687,0.68096,1.34054,0.26498,0.4143,0.83639,0.99724,1,0.995,0.87687,0.99724,1,0.995,0.61885,0.54895,1.34789,0.26074,0.34208,0.83919,0.00187033,0.00187033,0.00187033
15,234.294,0.68344,1.33316,0.27288,0.4194,0.84935,0.99635,1,0.995,0.87344,0.98187,0.95833,0.96376,0.66442,0.56197,1.28779,0.25349,0.3247,0.83483,0.00186035,0.00186035,0.00186035
16,248.952,0.67253,1.29183,0.24782,0.40808,0.84019,0.99774,1,0.995,0.87647,0.98298,0.95833,0.975,0.67315,0.55927,1.22404,0.25093,0.32313,0.83097,0.00185038,0.00185038,0.00185038
17,263.718,0.72221,1.27872,0.25222,0.42328,0.83706,0.99761,1,0.995,0.9001,0.99761,1,0.995,0.65621,0.51425,1.2765,0.25357,0.34274,0.82817,0.0018404,0.0018404,0.0018404
18,278.816,0.66322,1.2424,0.22281,0.41051,0.83326,0.99842,1,0.995,0.85861,0.99842,1,0.995,0.67905,0.5368,1.20296,0.24676,0.36332,0.83554,0.00183043,0.00183043,0.00183043
19,294.068,0.64795,1.24315,0.22693,0.41084,0.83328,1,0.99856,0.995,0.90518,1,0.99856,0.995,0.70184,0.49612,1.187,0.24703,0.36886,0.82554,0.00182045,0.00182045,0.00182045
20,308.648,0.65578,1.19062,0.21529,0.40309,0.82319,0.99848,1,0.995,0.88961,0.99848,1,0.995,0.59474,0.50768,1.38093,0.25596,0.34198,0.83027,0.00181048,0.00181048,0.00181048
21,323.17,0.61932,1.18229,0.19978,0.38919,0.81974,0.99876,1,0.995,0.87894,0.99876,1,0.995,0.70459,0.51589,1.12438,0.23515,0.32432,0.83107,0.0018005,0.0018005,0.0018005
22,338.039,0.66419,1.10044,0.22595,0.40694,0.8282,0.95194,1,0.995,0.89568,0.95194,1,0.995,0.57629,0.53133,1.46094,0.27272,0.36405,0.83799,0.00179053,0.00179053,0.00179053
23,353.447,0.6669,1.11588,0.21792,0.40338,0.82673,0.99735,1,0.995,0.89621,0.99735,1,0.995,0.67467,0.5097,1.04179,0.22714,0.33189,0.82252,0.00178055,0.00178055,0.00178055
24,371.165,0.64533,1.15365,0.2229,0.4002,0.82601,0.95849,1,0.995,0.87265,0.95849,1,0.995,0.39983,0.56031,2.22605,0.24666,0.36312,0.82939,0.00177058,0.00177058,0.00177058
25,386.52,0.65229,1.15409,0.19725,0.40499,0.83259,0.9597,0.99252,0.9934,0.88205,0.9597,0.99252,0.9934,0.41287,0.50476,1.91212,0.25077,0.4205,0.82982,0.0017606,0.0017606,0.0017606
26,401.766,0.65937,1.14153,0.20868,0.4066,0.83477,0.95599,1,0.9918,0.8987,0.95599,1,0.9918,0.61825,0.49396,1.50453,0.24827,0.33537,0.82191,0.00175063,0.00175063,0.00175063
27,416.611,0.63515,1.10659,0.19407,0.39929,0.8289,0.95796,0.94974,0.9799,0.83327,0.95796,0.94974,0.9799,0.48741,0.57538,1.77837,0.22994,0.46419,0.84003,0.00174065,0.00174065,0.00174065
28,431.122,0.64697,1.14654,0.18711,0.40697,0.83155,0.89298,0.83333,0.86327,0.7203,0.89298,0.83333,0.91135,0.68084,0.72302,1.18995,0.21092,0.56509,0.89609,0.00173068,0.00173068,0.00173068
29,446.199,0.659,0.99899,0.18291,0.40651,0.81979,0.99858,1,0.995,0.88739,0.99858,1,0.995,0.85775,0.59381,0.60286,0.21192,0.32841,0.84152,0.0017207,0.0017207,0.0017207
30,460.934,0.65718,0.96108,0.18228,0.40779,0.83163,0.99758,1,0.995,0.91054,0.99758,1,0.995,0.56033,0.49777,1.50791,0.22118,0.30781,0.82387,0.00171073,0.00171073,0.00171073
31,475.79,0.64665,0.95517,0.18335,0.40081,0.82949,0.99737,1,0.995,0.90694,0.99737,1,0.995,0.8149,0.45228,0.75786,0.20064,0.30138,0.81807,0.00170075,0.00170075,0.00170075
32,490.064,0.65258,0.97251,0.18283,0.41703,0.83249,0.99703,1,0.995,0.87483,0.99703,1,0.995,0.59516,0.51801,1.32171,0.21963,0.33567,0.82946,0.00169078,0.00169078,0.00169078
33,505.409,0.66472,0.93871,0.19054,0.42482,0.83227,0.99628,1,0.995,0.8784,0.99628,1,0.995,0.8289,0.5744,0.61129,0.23805,0.33596,0.8481,0.0016808,0.0016808,0.0016808
34,520.937,0.66905,0.85216,0.1901,0.40992,0.83422,0.94804,1,0.9918,0.85374,0.94804,1,0.9918,0.3194,0.59601,2.68338,0.31146,0.38484,0.87522,0.00167083,0.00167083,0.00167083
35,535.046,0.64126,0.85409,0.16756,0.40288,0.82285,0.99222,1,0.995,0.85722,0.99222,1,0.995,0.49725,0.56984,1.73653,0.21982,0.36867,0.83955,0.00166085,0.00166085,0.00166085
36,550.061,0.64157,0.81091,0.1774,0.40219,0.82533,0.98862,1,0.995,0.88827,0.98862,1,0.995,0.72025,0.50432,0.98135,0.23555,0.32138,0.82846,0.00165087,0.00165087,0.00165087
